20260701 033000;1.139310;1.139370;1.139300;1.139370;0
20260701 033100;1.139350;1.139430;1.139350;1.139400;0
20260701 033200;1.139420;1.139490;1.139420;1.139460;0
20260701 033300;1.139440;1.139760;1.139440;1.139760;0
20260701 033400;1.139750;1.139770;1.139630;1.139680;0
20260701 033500;1.139700;1.139760;1.139650;1.139710;0
20260701 033600;1.139720;1.139820;1.139710;1.139810;0
20260701 033700;1.139810;1.139850;1.139720;1.139740;0
20260701 033800;1.139760;1.139820;1.139730;1.139760;0
20260701 033900;1.139780;1.139850;1.139770;1.139810;0
20260701 034000;1.139810;1.139850;1.139750;1.139850;0
20260701 034100;1.139840;1.139920;1.139840;1.139860;0
20260701 034200;1.139860;1.139860;1.139750;1.139750;0
20260701 034300;1.139770;1.139860;1.139770;1.139850;0
20260701 034400;1.139830;1.139960;1.139830;1.139830;0
20260701 034500;1.139820;1.139970;1.139800;1.139960;0
20260701 034600;1.139940;1.139950;1.139850;1.139910;0
20260701 034700;1.139910;1.139940;1.139870;1.139870;0
20260701 034800;1.139860;1.139970;1.139860;1.139870;0
20260701 034900;1.139890;1.139920;1.139700;1.139760;0
20260701 035000;1.139770;1.139960;1.139770;1.139950;0
20260701 035100;1.139940;1.139970;1.139830;1.139840;0
20260701 035200;1.139830;1.139870;1.139830;1.139850;0
20260701 035300;1.139860;1.139870;1.139780;1.139840;0
20260701 035400;1.139840;1.139950;1.139790;1.139900;0
20260701 035500;1.139910;1.140070;1.139900;1.140070;0
20260701 035600;1.140070;1.140180;1.140070;1.140150;0
20260701 035700;1.140170;1.140360;1.140150;1.140310;0
20260701 035800;1.140300;1.140330;1.140170;1.140170;0
20260701 035900;1.140150;1.140250;1.140120;1.140200;0
20260701 040000;1.140190;1.140200;1.140070;1.140190;0
20260701 040100;1.140180;1.140230;1.140050;1.140050;0
20260701 040200;1.140050;1.140180;1.140050;1.140100;0
20260701 040300;1.140110;1.140120;1.140020;1.140050;0
20260701 040400;1.140050;1.140170;1.139970;1.139970;0
20260701 040500;1.139970;1.140080;1.139920;1.140070;0
20260701 040600;1.140090;1.140130;1.140080;1.140120;0
20260701 040700;1.140120;1.140130;1.140010;1.140030;0
20260701 040800;1.140040;1.140180;1.140040;1.140170;0
20260701 040900;1.140180;1.140200;1.140110;1.140130;0
20260701 041000;1.140140;1.140170;1.139990;1.140010;0
20260701 041100;1.140030;1.140060;1.140020;1.140020;0
20260701 041200;1.140020;1.140070;1.139980;1.140010;0
20260701 041300;1.140030;1.140110;1.140020;1.140070;0
20260701 041400;1.140070;1.140080;1.139990;1.140020;0
20260701 041500;1.140010;1.140280;1.140000;1.140280;0
20260701 041600;1.140270;1.140380;1.140260;1.140310;0
20260701 041700;1.140330;1.140370;1.140310;1.140330;0
20260701 041800;1.140300;1.140300;1.140100;1.140100;0
20260701 041900;1.140110;1.140210;1.140080;1.140210;0
20260701 042000;1.140220;1.140220;1.140080;1.140100;0
20260701 042100;1.140100;1.140160;1.140100;1.140130;0
20260701 042200;1.140110;1.140110;1.139840;1.139900;0
20260701 042300;1.139890;1.139890;1.139790;1.139870;0
20260701 042400;1.139860;1.139970;1.139820;1.139870;0
20260701 042500;1.139880;1.139980;1.139870;1.139940;0
20260701 042600;1.139980;1.140000;1.139870;1.139880;0
20260701 042700;1.139870;1.139870;1.139740;1.139750;0
